GO TERM,GENE PRODUCT ID
GO:0000226,P02511
GO:0000226,Q9HC98
GO:0000226,Q9HBM1
GO:0000226,Q3SXZ7
GO:0000226,Q9HAE3
GO:0000226,Q4LDG9
GO:0000226,O14777
GO:0000226,Q5BN46
GO:0000226,Q5JVL4
GO:0000226,Q68CZ6
GO:0000226,Q6P4I2
GO:0000226,Q6PEY2
GO:0000226,Q9H6D7
GO:0000226,Q6ZTW0
GO:0000226,Q9H4B7
GO:0000226,Q71U36
GO:0000226,Q9H1X1
GO:0000226,Q9H169
GO:0000226,Q9HD36
GO:0000226,Q16531
GO:0000226,Q15813
GO:0000226,Q9HD47
GO:0000226,Q12798
GO:0000226,O75934
GO:0000226,Q12982
GO:0000226,Q13257
GO:0000226,O14530
GO:0000226,Q9NV06
GO:0000226,Q13418
GO:0000226,Q13526
GO:0000226,Q86Y56
GO:0000226,Q9NRH3
GO:0000226,Q14204
GO:0000226,Q96LK0
GO:0000226,Q14974
GO:0000226,Q9NQM4
GO:0000226,Q15004
GO:0000226,Q15078
GO:0000226,O75602
GO:0000226,Q15257
GO:0000226,O75800
GO:0000226,Q8IW40
GO:0000226,Q8IX90
GO:0000226,Q9H0C1
GO:0000226,Q93045
GO:0000226,Q969Q6
GO:0000226,Q96BD8
GO:0000226,Q9BQE3
GO:0000226,Q96CS2
GO:0000226,Q96DB5
GO:0000226,Q96E40
GO:0000226,O15379
GO:0000226,Q9BTW9
GO:0000226,O43264
GO:0000226,Q99871
GO:0000226,Q99828
GO:0000226,Q99653
GO:0000226,Q96GD4
GO:0000226,Q96GE6
GO:0000226,Q99426
GO:0000226,Q96JB1
GO:0000226,O15520
GO:0000226,Q96EK5
GO:0000226,Q12768
GO:0000226,Q9BU20
GO:0000226,Q9BUF5
GO:0000226,Q9H079
GO:0000226,Q8IXS2
GO:0000226,Q8IYR0
GO:0000226,Q8IYX1
GO:0000226,O43805
GO:0000226,Q8N136
GO:0000226,Q9C0F1
GO:0000226,Q8N4N8
GO:0000226,O43543
GO:0000226,Q8NDM7
GO:0000226,Q9BXC9
GO:0000226,Q8NFJ9
GO:0000226,Q8TDX7
GO:0000226,Q8TE73
GO:0000226,O15182
GO:0000226,Q8WVK7
GO:0000226,Q9BV86
GO:0000226,Q8WXU2
GO:0000226,Q9BZD4
GO:0000226,Q08AG7
GO:0000226,Q96NB1
GO:0000226,Q9NVX0
GO:0000226,P24522
GO:0000226,Q9Y2S7
GO:0000226,P24941
GO:0000226,P30153
GO:0000226,P30154
GO:0000226,P36404
GO:0000226,P00540
GO:0000226,P41208
GO:0000226,P43034
GO:0000226,Q9UQB9
GO:0000226,Q05513
GO:0000226,P49450
GO:0000226,P51955
GO:0000226,O95922
GO:0000226,O95834
GO:0000226,Q9Y2Z0
GO:0000226,Q9Y3A5
GO:0000226,P23528
GO:0000226,A8MVW5
GO:0000226,A0AVF1
GO:0000226,Q9Y6Q1
GO:0000226,P04350
GO:0000226,P04406
GO:0000226,P06493
GO:0000226,A4D256
GO:0000226,A5D8W1
GO:0000226,Q9UKT4
GO:0000226,P08100
GO:0000226,P0DPH7
GO:0000226,A6NGQ2
GO:0000226,A6NHL2
GO:0000226,P0DPH8
GO:0000226,P14635
GO:0000226,P23258
GO:0000226,P23396
GO:0000226,P08F94
GO:0000226,P56539
