GO SCAFFOLDS BACKGROUND EXPECTED FOLD_ENRICHMENT
GO:0006355 59 8748 83.69871751374092 0.7049092477470028
GO:0035556 31 3716 35.55377620954061 0.8719186343891473
GO:0010608 27 892 8.534437131030739 3.163653277359031
GO:0065003 26 2158 20.64721449413042 1.259249765017517
GO:0006397 24 1334 12.763384678021307 1.880378959456442
GO:0007166 22 4588 43.89685824794734 0.5011748192942428
GO:0061013 18 269 2.573725995792902 6.9937514830340906
GO:0032880 16 1033 9.883490534029992 1.618861266159983
GO:0046907 16 2736 26.17737667096424 0.6112147982248766
GO:0033365 16 1108 10.601072131370021 1.5092813068079987
GO:0006325 14 1319 12.619868358553301 1.1093618096666829
GO:0048024 13 181 1.7317635882472686 7.506798322949728
GO:0043254 13 663 6.343421320485851 2.049367264636351
GO:0006508 12 4044 38.69199972857434 0.31014163352063473
GO:0000226 11 1002 9.58689014046278 1.147400234991011
GO:0006338 11 1012 9.682567686774783 1.1360622880049338
GO:0022407 11 576 5.511026667571419 1.9959983254531126
GO:0006351 11 1102 10.543665603582818 1.0432804314528066
GO:0045184 11 3373 32.27203637103888 0.34085236746545894
GO:0030163 10 1350 12.916468752120512 0.7742054110848438
GO:0040029 10 326 3.119088009771324 3.2060653526519602
GO:0007059 10 571 5.463187894415417 1.8304331085193328
GO:0030036 9 916 8.764063242179548 1.0269209328254205
GO:0006281 9 2073 19.833955350478387 0.4537672814607261
GO:0031647 9 432 4.133270000678564 2.177452718676123
GO:0050790 8 607 5.80762706113863 1.3774989192283875
GO:0070647 7 2001 19.14507701703196 0.3656292421165304
GO:0006629 6 3759 35.96518965868223 0.1668279816383941
GO:0042176 6 438 4.190676528465766 1.4317497328281357
GO:0032386 5 321 3.071249236615322 1.6280020326550453
GO:0098609 5 987 9.443373820994776 0.5294717856963217
GO:0006468 5 383 3.6644500237497453 1.3644612336351685
GO:0006402 4 252 2.4110741670624956 1.659011595181808
GO:0007186 4 3655 34.970143177037386 0.11438328918900564
GO:0006897 4 670 6.410395602904255 0.6239864507250978
GO:1902414 4 112 1.0715885186944425 3.732776089159068
GO:0006412 4 1769 16.92535794259347 0.23633178178960748
GO:0044281 3 4163 39.83056252968718 0.07531904671855914
GO:0006457 3 784 7.501119630861098 0.399940295267043
GO:0006909 3 195 1.8657121530840741 1.6079650845608293
GO:0042445 3 391 3.7409920607993485 0.8019263209446591
GO:0006887 3 472 4.515980185926579 0.6643076090876308
GO:0034728 2 210 2.00922847255208 0.9954069571090847
GO:0032507 2 65 0.6219040510280247 3.2159301691216586
GO:0051668 2 737 7.05143516319468 0.28363020487504453
GO:0006310 2 674 6.448666621429056 0.31014163352063473
GO:0043244 1 235 2.248422338332089 0.44475629998491023
GO:1903317 1 66 0.631471805659225 1.5836019772189986
GO:0051101 1 57 0.5453620139784217 1.83364439467463
GO:0032922 1 100 0.9567754631200379 1.0451773049645392
GO:0032984 1 242 2.3153966207504917 0.4318914483324542
GO:0051604 1 787 7.529822894754699 0.1328052484071841
GO:0071103 1 67 0.6410395602904254 1.559966126812745
GO:0033628 1 51 0.48795548619121937 2.049367264636351
GO:0006470 1 89 0.8515301621768337 1.1743565224320665
GO:0006486 1 836 7.998642871683518 0.12502120872781566
GO:0048193 1 617 5.903304607450634 0.16939664586135156
GO:0043393 1 68 0.6506073149216258 1.5370254484772632
GO:1905719 1 9 0.08610979168080342 11.613081166272655
GO:0006260 1 630 6.027685417656239 0.1659011595181808
GO:2000232 1 16 0.15308407409920607 6.532358156028369
