#cosmic_gene	tier	UniProt_accession	UniProt_genes	UniProt_status	UniProt_protein_name	somatic_mutations	germline_mutations	role_TSG	role_oncogene	role_fusion protein	genetics_dominant	genetics_recessive	actionability_level	resistance_mutations	dominant_mutation_type-fusion	dominant_mutation_type-translocation	dominant_mutation_type-missense_mutations	dominant_mutation_type-splice_site_mutations	dominant_mutation_type-nonsense_mutations	dominant_mutation_type-frameshift_mutations	dominant_mutation_type-large_deletions	dominant_mutation_type-amplification	dominant_mutation_type-other_mutations	tissue_epithelial	tissue_leukaemia-lymphoma	tissue_mesenchymal	tissue_other_tissue	hallmark_angiogenesis	hallmark_replicative_immortality	hallmark_energetics	hallmark_immune_evasion	hallmark_apoptosis	hallmark_genomic_instability	hallmark_metastasis	hallmark_proliferative_signaling	hallmark_growth_suppression	hallmark_inflammation	cancer_type(s)
A1CF	2	Q9NQ94	A1CF ACF ASP	reviewed	APOBEC1 complementation factor (APOBEC1-stimulating protein)	1	0	0	1	0	0	0	-	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	melanoma
ABI1	1	Q8IZP0	ABI1 SSH3BP1	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	1	0	1	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	AML
ABL1	1	P00519	ABL1 ABL JTK7	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	CML, ALL, T-ALL
ABL2	1	P42684	ABL2 ABLL ARG	reviewed	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	AML
ACKR3	1	P25106	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	reviewed	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	lipoma
ACSL3	1	O95573	ACSL3 ACS3 FACL3 LACS3	reviewed	Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	prostate
ACSL6	2	Q9UKU0	ACSL6 ACS2 FACL6 KIAA0837 LACS5	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6) (LACS 6)	1	0	0	0	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	AML, AEL
ACVR1	1	Q04771	ACVR1 ACVRLK2	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	1	0	0	1	0	1	0	-	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	DIPG
ACVR2A	1	P27037	ACVR2A ACVR2	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	1	0	1	0	0	0	1	-	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus
AFDN	1	P55196	AFDN AF6 MLLT4	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	1	0	0	1	1	1	0	-	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	AL
