UniProt	DeePhase
Q9UHA4	0.057
Q8N6N7	0.06
Q5JXB2	0.063
P05413	0.063
Q8TD33	0.063
Q5VXD3	0.063
A6NFF2	0.064
P35244	0.064
Q9BV90	0.064
Q6T311	0.064
P52758	0.064
Q8WXG8	0.064
P68106	0.065
P02008	0.065
P49458	0.065
Q6IS14	0.066
P58546	0.067
P02100	0.067
P0CG13	0.067
Q12988	0.067
Q8TF09	0.067
P78330	0.068
P0DMR2	0.068
A6NFE3	0.068
Q7Z2F6	0.068
O43678	0.068
Q96DA6	0.069
Q96FN9	0.069
Q16864	0.069
P05089	0.07
P10599	0.07
P52434	0.07
P56556	0.07
P84077	0.07
Q14019	0.07
Q16718	0.07
O15540	0.07
Q8WUK0	0.07
Q8WU43	0.07
Q75LS8	0.071
P18077	0.071
P86397	0.071
P63241	0.071
Q8TE69	0.071
P61204	0.072
O75531	0.072
Q5VT33	0.072
P09936	0.072
Q9Y2R5	0.072
A6NEY8	0.072
P09211	0.073
Q8WXC3	0.073
P51452	0.073
Q9HD34	0.073
P09455	0.073
Q9NP97	0.073
P82932	0.073
P61457	0.073
Q9UK45	0.073
Q6P587	0.073
P04234	0.073
P20338	0.074
P29762	0.074
Q15369	0.074
Q6UWW0	0.074
P02042	0.074
P20366	0.074
P61018	0.074
A0A0B4J241	0.075
Q9BRA2	0.075
P14406	0.075
Q8IZY5	0.075
Q9GZQ8	0.075
P30047	0.075
Q96FQ6	0.075
Q13901	0.075
P62304	0.075
A6NC42	0.075
Q6ZN92	0.075
Q13795	0.076
P58557	0.076
Q9BUE0	0.076
C9JBD0	0.076
P01148	0.076
P61604	0.076
P29373	0.076
Q9Y5T4	0.076
P62942	0.076
O14561	0.076
Q96BM9	0.076
P22392	0.076
P36405	0.076
P07741	0.076
P57105	0.076
P52435	0.076
P51149	0.077
P49773	0.077
P61960	0.077
P20674	0.077
Q9Y3D8	0.077
P02652	0.077
P84085	0.077
A6NCE7	0.077
Q96DE9	0.077
Q6ZYL4	0.077
Q9Y333	0.077
